image_id,label,variety,age
102137.jpg,bacterial_leaf_streak,Zonal,70
105219.jpg,bacterial_leaf_streak,Zonal,70
106586.jpg,bacterial_leaf_streak,ADT45,55
105815.jpg,bacterial_leaf_streak,Zonal,70
103805.jpg,bacterial_leaf_streak,Zonal,70
102947.jpg,bacterial_leaf_streak,Onthanel,50
103030.jpg,bacterial_leaf_streak,ADT45,60
104447.jpg,bacterial_leaf_streak,Zonal,70
103275.jpg,bacterial_leaf_streak,Zonal,70
104005.jpg,bacterial_leaf_streak,Zonal,70
103326.jpg,bacterial_leaf_streak,ADT45,60
104015.jpg,bacterial_leaf_streak,Zonal,70
108249.jpg,bacterial_leaf_streak,Zonal,70
109679.jpg,bacterial_leaf_streak,Zonal,70
103675.jpg,bacterial_leaf_streak,Onthanel,50
101047.jpg,bacterial_leaf_streak,ADT45,60
104926.jpg,bacterial_leaf_streak,Zonal,70
104461.jpg,bacterial_leaf_streak,Zonal,70
105588.jpg,bacterial_leaf_streak,Onthanel,50
106225.jpg,bacterial_leaf_streak,Onthanel,50
104402.jpg,bacterial_leaf_streak,KarnatakaPonni,50
100150.jpg,bacterial_leaf_streak,Onthanel,50
105340.jpg,bacterial_leaf_streak,Zonal,70
107634.jpg,bacterial_leaf_streak,Zonal,70
109566.jpg,bacterial_leaf_streak,Zonal,70
103325.jpg,bacterial_leaf_streak,Onthanel,50
105828.jpg,bacterial_leaf_streak,Zonal,70
107038.jpg,bacterial_leaf_streak,Zonal,70
102957.jpg,bacterial_leaf_streak,Zonal,70
103692.jpg,bacterial_leaf_streak,Zonal,70
100105.jpg,bacterial_leaf_streak,Zonal,70
101012.jpg,bacterial_leaf_streak,Onthanel,50
108674.jpg,bacterial_leaf_streak,ADT45,60
104232.jpg,bacterial_leaf_streak,ADT45,60
109040.jpg,bacterial_leaf_streak,Onthanel,50
105457.jpg,bacterial_leaf_streak,Zonal,70
107409.jpg,bacterial_leaf_streak,Zonal,70
103308.jpg,bacterial_leaf_streak,Onthanel,50
105635.jpg,bacterial_leaf_streak,Onthanel,50
108347.jpg,bacterial_leaf_streak,ADT45,60
110194.jpg,bacterial_leaf_streak,KarnatakaPonni,50
101709.jpg,bacterial_leaf_streak,ADT45,77
102608.jpg,bacterial_leaf_streak,Zonal,70
103563.jpg,bacterial_leaf_streak,ADT45,77
100701.jpg,bacterial_leaf_streak,ADT45,60
108019.jpg,bacterial_leaf_streak,Zonal,70
107113.jpg,bacterial_leaf_streak,ADT45,55
107219.jpg,bacterial_leaf_streak,Zonal,70
106911.jpg,bacterial_leaf_streak,Zonal,70
104070.jpg,bacterial_leaf_streak,Zonal,70
101651.jpg,bacterial_leaf_streak,ADT45,60
109234.jpg,bacterial_leaf_streak,Zonal,70
102429.jpg,bacterial_leaf_streak,KarnatakaPonni,50
107278.jpg,bacterial_leaf_streak,ADT45,77
109794.jpg,bacterial_leaf_streak,Zonal,70
104405.jpg,bacterial_leaf_streak,Onthanel,50
104885.jpg,bacterial_leaf_streak,Onthanel,50
110061.jpg,bacterial_leaf_streak,Onthanel,50
105584.jpg,bacterial_leaf_streak,ADT45,55
101461.jpg,bacterial_leaf_streak,Zonal,70
104444.jpg,bacterial_leaf_streak,Onthanel,50
109623.jpg,bacterial_leaf_streak,KarnatakaPonni,50
101600.jpg,bacterial_leaf_streak,Zonal,70
106423.jpg,bacterial_leaf_streak,ADT45,60
102911.jpg,bacterial_leaf_streak,ADT45,60
107328.jpg,bacterial_leaf_streak,ADT45,60
109925.jpg,bacterial_leaf_streak,ADT45,77
100299.jpg,bacterial_leaf_streak,ADT45,68
105027.jpg,bacterial_leaf_streak,KarnatakaPonni,50
110226.jpg,bacterial_leaf_streak,KarnatakaPonni,70
109191.jpg,bacterial_leaf_streak,Zonal,70
109858.jpg,bacterial_leaf_streak,Zonal,70
105297.jpg,bacterial_leaf_streak,Zonal,70
100409.jpg,bacterial_leaf_streak,Zonal,70
101388.jpg,bacterial_leaf_streak,KarnatakaPonni,50
103874.jpg,bacterial_leaf_streak,ADT45,60
105707.jpg,bacterial_leaf_streak,KarnatakaPonni,50
104724.jpg,bacterial_leaf_streak,Zonal,70
105772.jpg,bacterial_leaf_streak,Onthanel,50
105378.jpg,bacterial_leaf_streak,KarnatakaPonni,50
108577.jpg,bacterial_leaf_streak,ADT45,60
107734.jpg,bacterial_leaf_streak,Zonal,70
105174.jpg,bacterial_leaf_streak,ADT45,60
109474.jpg,bacterial_leaf_streak,Zonal,70
107742.jpg,bacterial_leaf_streak,ADT45,60
107554.jpg,bacterial_leaf_streak,ADT45,68
100084.jpg,bacterial_leaf_streak,Onthanel,50
110366.jpg,bacterial_leaf_streak,KarnatakaPonni,50
107051.jpg,bacterial_leaf_streak,Onthanel,50
107341.jpg,bacterial_leaf_streak,KarnatakaPonni,50
107736.jpg,bacterial_leaf_streak,Zonal,70
108321.jpg,bacterial_leaf_streak,Onthanel,50
108907.jpg,bacterial_leaf_streak,Onthanel,50
107925.jpg,bacterial_leaf_streak,Zonal,70
104312.jpg,bacterial_leaf_streak,Zonal,70
103519.jpg,bacterial_leaf_streak,KarnatakaPonni,70
