image_id,label,variety,age
110039.jpg,bacterial_panicle_blight,ADT45,68
107859.jpg,bacterial_panicle_blight,ADT45,80
103043.jpg,bacterial_panicle_blight,ADT45,70
102756.jpg,bacterial_panicle_blight,Ponni,80
101474.jpg,bacterial_panicle_blight,AndraPonni,65
105845.jpg,bacterial_panicle_blight,ADT45,70
104300.jpg,bacterial_panicle_blight,ADT45,70
105778.jpg,bacterial_panicle_blight,Ponni,80
102920.jpg,bacterial_panicle_blight,ADT45,67
108708.jpg,bacterial_panicle_blight,Ponni,80
107676.jpg,bacterial_panicle_blight,ADT45,77
101543.jpg,bacterial_panicle_blight,ADT45,70
100190.jpg,bacterial_panicle_blight,ADT45,75
104041.jpg,bacterial_panicle_blight,AndraPonni,65
103921.jpg,bacterial_panicle_blight,ADT45,70
104223.jpg,bacterial_panicle_blight,Ponni,80
108083.jpg,bacterial_panicle_blight,Ponni,80
107358.jpg,bacterial_panicle_blight,Ponni,80
100397.jpg,bacterial_panicle_blight,ADT45,68
106119.jpg,bacterial_panicle_blight,AndraPonni,65
107913.jpg,bacterial_panicle_blight,Ponni,80
105977.jpg,bacterial_panicle_blight,ADT45,70
101965.jpg,bacterial_panicle_blight,ADT45,68
106342.jpg,bacterial_panicle_blight,ADT45,70
105065.jpg,bacterial_panicle_blight,ADT45,70
107214.jpg,bacterial_panicle_blight,Ponni,80
106283.jpg,bacterial_panicle_blight,ADT45,70
100601.jpg,bacterial_panicle_blight,AndraPonni,65
106830.jpg,bacterial_panicle_blight,ADT45,70
100314.jpg,bacterial_panicle_blight,ADT45,70
103068.jpg,bacterial_panicle_blight,ADT45,77
109971.jpg,bacterial_panicle_blight,ADT45,68
103725.jpg,bacterial_panicle_blight,ADT45,70
109755.jpg,bacterial_panicle_blight,ADT45,70
104261.jpg,bacterial_panicle_blight,Ponni,80
102463.jpg,bacterial_panicle_blight,ADT45,73
108532.jpg,bacterial_panicle_blight,ADT45,75
105579.jpg,bacterial_panicle_blight,ADT45,70
101225.jpg,bacterial_panicle_blight,ADT45,70
100414.jpg,bacterial_panicle_blight,ADT45,70
104636.jpg,bacterial_panicle_blight,ADT45,67
104127.jpg,bacterial_panicle_blight,ADT45,70
109434.jpg,bacterial_panicle_blight,ADT45,67
110057.jpg,bacterial_panicle_blight,ADT45,75
100068.jpg,bacterial_panicle_blight,ADT45,67
103731.jpg,bacterial_panicle_blight,ADT45,68
106538.jpg,bacterial_panicle_blight,ADT45,67
107166.jpg,bacterial_panicle_blight,ADT45,70
105083.jpg,bacterial_panicle_blight,ADT45,70
102200.jpg,bacterial_panicle_blight,Ponni,80
108877.jpg,bacterial_panicle_blight,ADT45,70
108728.jpg,bacterial_panicle_blight,ADT45,75
108947.jpg,bacterial_panicle_blight,ADT45,70
103931.jpg,bacterial_panicle_blight,ADT45,75
101031.jpg,bacterial_panicle_blight,ADT45,67
100610.jpg,bacterial_panicle_blight,ADT45,68
109183.jpg,bacterial_panicle_blight,Ponni,80
109080.jpg,bacterial_panicle_blight,ADT45,68
103150.jpg,bacterial_panicle_blight,ADT45,75
104770.jpg,bacterial_panicle_blight,ADT45,73
104912.jpg,bacterial_panicle_blight,ADT45,70
103368.jpg,bacterial_panicle_blight,ADT45,70
109790.jpg,bacterial_panicle_blight,Ponni,80
104364.jpg,bacterial_panicle_blight,Ponni,80
104678.jpg,bacterial_panicle_blight,ADT45,68
109472.jpg,bacterial_panicle_blight,ADT45,68
102973.jpg,bacterial_panicle_blight,ADT45,70
100043.jpg,bacterial_panicle_blight,ADT45,70
102491.jpg,bacterial_panicle_blight,ADT45,70
104414.jpg,bacterial_panicle_blight,Ponni,80
103406.jpg,bacterial_panicle_blight,ADT45,77
101962.jpg,bacterial_panicle_blight,ADT45,70
101073.jpg,bacterial_panicle_blight,AndraPonni,65
100058.jpg,bacterial_panicle_blight,AndraPonni,65
106151.jpg,bacterial_panicle_blight,ADT45,75
101934.jpg,bacterial_panicle_blight,ADT45,70
105487.jpg,bacterial_panicle_blight,ADT45,68
103733.jpg,bacterial_panicle_blight,ADT45,70
103110.jpg,bacterial_panicle_blight,ADT45,67
100634.jpg,bacterial_panicle_blight,ADT45,70
104154.jpg,bacterial_panicle_blight,ADT45,68
106613.jpg,bacterial_panicle_blight,Ponni,80
110342.jpg,bacterial_panicle_blight,Ponni,80
101765.jpg,bacterial_panicle_blight,ADT45,67
107388.jpg,bacterial_panicle_blight,ADT45,75
105646.jpg,bacterial_panicle_blight,Ponni,80
106302.jpg,bacterial_panicle_blight,ADT45,67
